speaker_id,splits,official_splits,num_splits,leakage,phone_rows,utterances,gold_binary_0,gold_binary_1
1,train,train,1,0,256,20,1,255
1012,train,train,1,0,444,20,0,444
1027,dev,train,1,0,416,20,1,415
1029,train,train,1,0,418,20,1,417
103,dev,train,1,0,271,20,3,268
1030,test,test,1,0,409,20,0,409
1033,train,train,1,0,477,20,1,476
1037,test,test,1,0,398,20,1,397
1039,test,test,1,0,366,20,0,366
104,train,train,1,0,272,20,4,268
1042,train,train,1,0,281,20,2,279
1044,train,train,1,0,313,20,1,312
1046,test,test,1,0,271,20,8,263
1050,test,test,1,0,301,20,4,297
1061,test,test,1,0,284,20,4,280
1064,train,train,1,0,411,20,10,401
1075,test,test,1,0,268,20,1,267
1076,test,test,1,0,269,20,13,256
1092,dev,train,1,0,280,20,9,271
1099,test,test,1,0,387,20,1,386
1109,test,test,1,0,425,20,0,425
111,test,test,1,0,288,20,4,284
112,test,test,1,0,289,20,22,267
113,test,test,1,0,245,20,0,245
1135,test,test,1,0,454,20,12,442
114,test,test,1,0,279,20,4,275
1156,test,test,1,0,457,20,0,457
1181,test,test,1,0,407,20,13,394
1186,test,test,1,0,364,20,16,348
1197,train,train,1,0,307,20,5,302
120,test,test,1,0,450,20,3,447
1203,train,train,1,0,295,20,5,290
122,test,test,1,0,246,20,10,236
1228,test,test,1,0,411,20,12,399
1260,train,train,1,0,386,20,5,381
1292,test,test,1,0,413,20,1,412
1293,test,test,1,0,401,20,0,401
1309,train,train,1,0,410,20,1,409
131,train,train,1,0,249,20,4,245
133,test,test,1,0,280,20,10,270
1334,test,test,1,0,399,20,3,396
1336,train,train,1,0,374,20,6,368
135,train,train,1,0,405,20,1,404
1362,train,train,1,0,361,20,2,359
1372,train,train,1,0,401,20,3,398
1404,test,test,1,0,274,20,136,138
1407,train,train,1,0,440,20,7,433
1408,test,test,1,0,350,20,3,347
1418,train,train,1,0,273,20,2,271
1419,train,train,1,0,286,20,10,276
1420,test,test,1,0,415,20,1,414
1422,test,test,1,0,269,20,88,181
1435,dev,train,1,0,311,20,29,282
1439,train,train,1,0,327,20,7,320
1447,dev,train,1,0,295,20,4,291
145,train,train,1,0,256,20,7,249
1465,test,test,1,0,287,20,5,282
1469,test,test,1,0,344,20,1,343
149,test,test,1,0,269,20,10,259
1501,test,test,1,0,276,20,6,270
1502,test,test,1,0,303,20,9,294
1503,test,test,1,0,313,20,7,306
157,test,test,1,0,457,20,0,457
2002,test,test,1,0,395,20,0,395
2007,test,test,1,0,320,20,3,317
2014,test,test,1,0,309,20,0,309
2016,test,test,1,0,424,20,0,424
2022,train,train,1,0,393,20,4,389
2027,test,test,1,0,286,20,4,282
2030,test,test,1,0,281,20,6,275
2031,test,test,1,0,388,20,6,382
2034,dev,train,1,0,338,20,9,329
2036,train,train,1,0,403,20,0,403
2059,train,train,1,0,390,20,0,390
2061,train,train,1,0,369,20,3,366
2089,train,train,1,0,392,20,2,390
2112,test,test,1,0,449,20,2,447
2116,test,test,1,0,422,20,1,421
2129,train,train,1,0,415,20,0,415
2168,train,train,1,0,440,20,0,440
2170,train,train,1,0,431,20,4,427
2179,train,train,1,0,295,20,2,293
2208,train,train,1,0,408,20,0,408
2236,train,train,1,0,389,20,3,386
2242,dev,train,1,0,380,20,1,379
2244,train,train,1,0,436,20,2,434
2251,train,train,1,0,374,20,0,374
2252,test,test,1,0,399,20,0,399
2282,train,train,1,0,421,20,6,415
2327,test,test,1,0,399,20,0,399
2355,test,test,1,0,448,20,2,446
2380,train,train,1,0,434,20,6,428
24,test,test,1,0,454,20,2,452
2402,train,train,1,0,459,20,4,455
2427,train,train,1,0,388,20,1,387
2430,train,train,1,0,419,20,6,413
2438,test,test,1,0,380,20,2,378
2441,test,test,1,0,452,20,3,449
2448,test,test,1,0,448,20,3,445
2450,train,train,1,0,388,20,5,383
2451,test,test,1,0,444,20,2,442
2488,test,test,1,0,408,20,1,407
2538,test,test,1,0,422,20,6,416
26,train,train,1,0,289,20,2,287
2621,dev,train,1,0,384,20,5,379
2740,test,test,1,0,393,20,0,393
2799,train,train,1,0,414,20,1,413
2892,test,test,1,0,380,20,4,376
2897,test,test,1,0,420,20,1,419
2917,test,test,1,0,448,20,1,447
2937,test,test,1,0,400,20,2,398
2981,train,train,1,0,379,20,1,378
3,test,test,1,0,281,20,5,276
3002,train,train,1,0,265,20,0,265
3007,test,test,1,0,321,20,4,317
3012,test,test,1,0,265,20,1,264
3014,test,test,1,0,280,20,0,280
3020,dev,train,1,0,307,20,0,307
3021,train,train,1,0,296,20,3,293
3023,train,train,1,0,427,20,0,427
3027,test,test,1,0,341,20,0,341
3046,train,train,1,0,324,20,2,322
3049,train,train,1,0,309,20,4,305
306,test,test,1,0,449,20,30,419
3060,test,test,1,0,283,20,2,281
